councilman councilmen
councilman councilwoman
counsel counsel
countryman countrywomen
countryman countrymen
countryman countrywoman
couple couple
covalency covalencys
Coventry Coventrys
covey coveys
cowboy cowboys
cowman cowmen
cowpox cowpoxs
Cox Coxs
cox coxs
coxa coxae
cracksman cracksmen
craft craft
craftsman craftswomen
craftsman craftswoman
craftsman craftsmen
cragsman cragsmen
craniology craniologys
craniometry craniometrys
cranium crania
crasis crases
crawfish crawfish
cray crays
crayfish crayfish
credibility credibilitys
crematorium crematoria
crewman crewmen
criminology criminologys
crisis crises
crista cristae
criterion criteria
crockery crockerys
crucifix crucifixs
crux cruces
cryobiology cryobiologys
cryosurgery cryosurgerys
cryptography cryptographys
crystallography crystallographys
csardas csardas
cul-de-sac culs-de-sac
cumulus cumuli
cupidity cupiditys
curaao curaoas
curriculum curricula
curtsy curtseys
custody custodys
cutlery cutlerys
Cyclops Cyclops
Cyclops Cyclopes
cypsela cypselae
cytology cytologys
dace dace
dairyman dairymen
dalesman dalesmen
day days
D-Day D-Days
debauchery debaucherys
debility debilitys
decay decays
decoy decoys
deejay deejays
deer deer
delay delays
deltiology deltiologys
demography demographys
demonolatry demonolatrys
demonology demonologys
demy demys
denarius denarii
dendrochronology dendrochronologys
dendrology dendrologys
dentalium dentalia
deontology deontologys
dermatology dermatologys
derry derrys
desideratum desiderata
desperado desperadoes
devilfish devilfishes
dexterity dexteritys
diagnosis diagnoses
diakinesis diakineses
dialysis dialyses
diathermancy diathermancys
diathermy diathermys
dicky dickeys
dictum dicta
dido didoes
die dice
differentia differentiae
dilettante dilettanti
diluvium diluvia
dingo dingoes
diplococcus diplococci
diploidy diploidys
diplomacy diplomacys
directrix directrices
disarray disarrays
discobolus discoboli
diseconomy diseconomys
disharmony disharmonys
dismay dismays
display displays
diverticulum diverticula
divertimento divertimenti
do do`s
dodo dodoes
dogfish dogfishes
dogman dogmen
doily doileys
Dolby Dolbys
dolma dolmades
Domesday Domesdays
domesticity domesticitys
domino dominoes
donkey donkeys
doohickey doohickeys
doomsday doomsdays
doorman doormen
doorway doorways
dormouse dormice
dos--dos dos--dos
doughboy doughboys
drachma drachmae
draftsman draftsmen
dragoman dragomen
dragonfish dragonfishes
dramaturgy dramaturgys
draughtsman draughtsmen
dray drays
drayman draymen
drey dreys
driveway driveways
drongo drongoes
duplex duplexs
duplicity duplicitys
Durex Durexs
dustman dustmen
Dutchman Dutchwoman
Dutchman Dutchwomen
Dutchman Dutchmen
dux duxs
dwarf dwarves
dybbuk dybbukim
dysentery dysenterys
dystrophy dystrophys
earwax earwaxs
eatery eaterys
ecclesiology ecclesiologys
echo echoes
echocardiography echocardiographys
echoencephalography echoencephalographys
ecology ecologys
eddo eddoes
effluvium effluvia
efflux effluxs
Egyptology Egyptologys
eidolon eidola
eisteddfod eisteddfodau
electricity electricitys
electrobiology electrobiologys
electroplexy electroplexys
electrotechnology electrotechnologys
electrotherapy electrotherapys
elenchus elenchi
elf elves
elytron elytra
embargo embargoes
embolus emboli
embryology embryologys
emery emerys
empathy empathys
emphasis emphases
employ employs
emporium emporia
enarthrosis enarthroses
encephalopathy encephalopathys
enchiridion enchiridia
encomium encomia
endocrinology endocrinologys
endogamy endogamys
enema enemata
enginery enginerys
Englishman Englishmen
Englishwoman Englishwomen
enthalpy enthalpys
entomology entomologys
entropy entropys
envoy envoys
epenthesis epentheses
epexegesis epexegeses
ephemera ephemerae
ephemeris ephemerides
ephemeron ephemera
epicedium epicedia
epidemiology epidemiologys
epididymis epididymides
epigastrium epigastria
epigone epigoni
epigraphy epigraphys
epilepsy epilepsys
epilimnion epilimnia
epinasty epinastys
epiphenomenon epiphenomena
epiphysis epiphyses
epistemology epistemologys
epitaxy epitaxys
epithalamium epithalamia
epithelium epithelia
epizoon epizoa
epyllion epyllia
equality equalitys
equanimity equanimitys
equilibrium equilibria
equinox equinoxs
erg areg
Erinys Erinyes
erotology erotologys
erratum errata
escapology escapologys
eschatology eschatologys
Esquimau Esquimaux
essay essays
ethnoarchaeology ethnoarchaeologys
ethnography ethnographys
ethnology ethnologys
ethnomusicology ethnomusicologys
ethology ethologys
etymon etyma
eucalyptus eucalypti
eucalyptus eucalypts
eulogium eulogia
eustasy eustasys
ex exs
exciseman excisemen
exegesis exegeses
exemplum exempla
ex-libris ex-libris
exobiology exobiologys
exogamy exogamys
exordium exordia
expiry expirys
expressway expressways
ex-serviceman ex-servicemen
ex-servicewoman ex-servicewomen
extremum extrema
fabliau fabliaux
facies facies
factum facta
facula faculae
Faeroese Faeroese
fairway fairways
falconry falconrys
famulus famuli
fandango fandangoes
faraday faradays
farcy farcys
farrago farragoes
fatso fatsoes
fauna faunae
fax faxs
fay fays
feasibility feasibilitys
fellah fellahin
felloe felloies
femineity femineitys
feminity feminitys
femur femora
fenestra fenestrae
Festschrift Festschriften
fez fezzes
fianchetto fianchettoes
fibroma fibromata
fibula fibulae
fidelity fidelitys
fieldsman fieldsmen
figurante figuranti
filaria filariae
Filipino Filipina
Filofax Filofaxs
finery finerys
finnesko finnesko
fioritura fioriture
firebox fireboxs
fireclay fireclays
fireman firemen
fish fishes
fisherman fishermen
fishwife fishwives
fistula fistulae
fix fixs
fixity fixitys
flagellum flagella
flagman flagmen
flambeau flambeaux
flamingo flamingoes
flatfoot flatfeet
flax flaxs
fleur-de-lis fleurs-
flex flexs
flexography flexographys
flocculus flocculi
floccus flocci
flora florae
florilegium florilegia
fluency fluencys
flunkey flunkeys
flunkey flunkies
flux fluxs
flyleaf flyleaves
focus foci
fogy fogeys
folk folk
foot foots,feet,feet
foot foot
footman footmen
footway footways
foramen foramina
foray forays
forceps forceps
forefoot forefeet
foreman foremen
foreplay foreplays
forestay forestays
forestry forestrys
forewoman forewomen
fortissimo fortissimi
fossa fossae
fovea foveae
fox foxs
fracas fracas
fraenulum fraenula
fraenum fraena
Frau Frauen
fray frays
freedman freedmen
freeman freemen
Freemasonry Freemasonrys
freeway freeways
Frenchman Frenchmen
Frenchwoman Frenchwomen
fresco frescoes
freshman freshmen
fricandeau fricandeaux
Friday Fridays
froggy froggys
frogman frogmen
frontiersman frontiersmen
frumenty frumentys
frustum frusta
frutex frutices
fry frys
fucus fuci
fugleman fuglemen
fulcrum fulcra
fumitory fumitorys
fundus fundi
fungus fungi
furriery furrierys
futurology futurologys
gaiety gaietys
galea galeae
galley galleys
galloway galloways
gambade -os
gambade -oes,gambades
gamesman gamesmen
gametangium gametangia
ganglion ganglia
gangway gangways
Garda Gardai
garfish garfish
garganey garganeys
gasman gasmen
gastronomy gastronomys
gastrula gastrulae
gateau gateaux
gateman gatemen
gateway gateways
gay gays
gazebo gazeboes
gearbox gearboxs
gecko geckoes
gelly gellys
gemma gemmae
gemmology gemmologys
genius genii,geniuses
gens gentes
gentility gentilitys
gentleman gentlemen
gentlewoman gentlewomen
gentry gentrys
genus genera
geobotany geobotanys
geochemistry geochemistrys
geochronology geochronologys
geodesy geodesys
geography geographys
geology geologys
geomancy geomancys
geometry geometrys
geomorphology geomorphologys
geophagy geophagys
gerontology gerontologys
gesso gessoes
getaway getaways
gingiva gingivae
ginglymus ginglymi
ginkgo ginkgoes
glabella glabellae
glaciology glaciologys
glacis glacis
gladiolus gladioli
glans glandes
glassy glassys
gley gleys
glissando glissandi
glomerulus glomeruli
gluteus glutei
gluttony gluttonys
glyptography glyptographys
G-man G-men
go goes
Godwottery Godwotterys
gonococcus gonococci
goodbye goodbys
goodman goodmen
goodwife goodwives
goody-goody goody-goodys
goose geese
gorblimey gorblimeys
goy goyim
goy goys
gracility gracilitys
graffito graffiti
grand grand
grandchild grandchildren
grapefruit grapefruit
graphicacy graphicacys
graphology graphologys
gravamen gravamina
gravimetry gravimetrys
gravity gravitys
gray grays
greenery greenerys
grey greys
gross gross
grotto grottoes
groundsman groundsmen
grouse grouse
guardsman guardsmen
Guernsey Guernseys
guideway guideways
guildsman guildswoman
guildsman guildswomen
guildsman guildsmen
gumma gummata
gunman gunmen
gunnery gunnerys
gunplay gunplays
gusto gustoes
guy guys
gymnasium gymnasia
gynaecology gynaecologys
gynoecium gynoecia
gyrus gyri
hackney hackneys
haddock haddock
haecceity haecceitys
haematology haematologys
hagiography hagiographys
hagiolatry hagiolatrys
hagiology hagiologys
haiku haiku
hairspray hairsprays
half halves
halfpenny halfpence
halibut halibut
hallux halluces
hallway hallways
halo haloes
hamulus hamuli
handkerchief handkerchieves
handyman handymen
hangman hangmen
hanky-panky hanky-pankys
haplography haplographys
haplology haplologys
haruspex haruspices
harvestman harvestmen
Hasid Hasidim
hatbox hatboxs
hatchway hatchways
hay hays
haybox hayboxs
head head
headman headmen
headsman headsmen
headway headways
hearsay hearsays
hearty heartys
hegemony hegemonys
heliotherapy heliotherapys
helix helices
helmsman helmsmen
henchman henchmen
henry henrys
heortology heortologys
heraldry heraldrys
herbarium herbaria
herdsman herdsmen
heredity hereditys
hernia herniae
hero heroes
herpetology herpetologys
Herr Herren
hertz hertz
hesperidium hesperidia
hetaera hetaerae
heterogamy heterogamys
heterogony heterogonys
heteronomy heteronomys
heterotaxy heterotaxys
hetman hetmen
hex hexs
heyday heydays
hickey hickeys
hideaway hideaways
hierolatry hierolatrys
hierology hierologys
higgledy-piggledy higgledy-piggledys
highboy highboys
highway highways
highwayman highwaymen
hilum hila
hippocampus hippocampi
hippopotamus hippopotami
histochemistry histochemistrys
histogeny histogenys
histology histologys
histopathology histopathologys
historicity historicitys
historiography historiographys
hoax hoaxs
hobbledehoy hobbledehoys
hobo hoboes
hockey hockeys
hodman hodmen
hogmanay hogmanays
hoity-toity hoity-toitys
hokey-cokey hokey-cokeys
hokey-pokey hokey-pokeys
hokku hokku
holiday holidays
holography holographys
hominy hominys
homoeopathy homoeopathys
homogamy homogamys
homogeny homogenys
homology homologys
homunculus homunculi
homunculus homuncules
honesty honestys
honey honeys
honorarium honoraria
hooey hooeys
hoof hooves
hookey hookeys
horology horologys
horsebox horseboxs
horseman horsemen
horseplay horseplays
horsepower horsepower
horsewoman horsewomen
hosiery hosierys
hospitality hospitalitys
houseboy houseboys
housefly houseflys
houseman housemen
housewife housewives
housewifery housewiferys
housey-housey housey-houseys
hovercraft hovercraft
hoy hoys
humerus humeri
humility humilitys
huntaway huntaways
huntsman huntsmen
hurly-burly hurly-burlys
hurry-scurry hurry-scurrys
husbandry husbandrys
hydrography hydrographys
hydrology hydrologys
hydropathy hydropathys
hydrotherapy hydrotherapys
hydrothorax hydrothoraxs
hygrology hygrologys
hymenium hymenia
hyperbola hyperbolae
hypergamy hypergamys
hypertrophy hypertrophys
hypha hyphae
hypnology hypnologys
hypnotherapy hypnotherapys
hypogastrium hypogastria
hypogeum hypogea
hypolimnion hypolimnia
hyponasty hyponastys
hypophysis hypophyses
hypostasis hypostases
hypothalamus hypothalami
hypothesis hypotheses
hypsography hypsographys
hyrax hyraxs
iambus iambi
icebox iceboxs
iceman icemen
ichthyology ichthyologys
iconolatry iconolatrys
iconology iconologys
iconostasis iconostases
idiopathy idiopathys
idolatry idolatrys
ignominy ignominys
ileum ilea
ilex ilexs
ilium ilia
imagery imagerys
imago imagines
immunoassay immunoassays
immunochemistry immunochemistrys
immunodeficiency immunodeficiencys
immunology immunologys
immunotherapy immunotherapys
impala impala
impudicity impudicitys
impunity impunitys
inability inabilitys
inamorato inamorata
incubus incubi
incunabulum incunabula
incus incudes
index indices
Indiaman Indiamen
Indology Indologys
indumentum indumenta
indusium indusia
infantryman infantrymen
inferiority inferioritys
infix infixs
influx influxs
infula infulae
ingenuity ingenuitys
inhabitancy inhabitancys
inhospitality inhospitalitys
inlay inlays
innuendo innuendoes
inoculum inocula
insectarium insectaries
insensibility insensibilitys
insobriety insobrietys
instancy instancys
insufficiency insufficiencys
integrity integritys
intercommunity intercommunitys
interleaf interleaves
intermezzo intermezzi
interplay interplays
interregnum interregna
intersex intersexs
intertextuality intertextualitys
in-tray in-trays
invalidity invaliditys
inyala inyala
Irishman Irishmen
Irishwoman Irishwomen
Iroquois Iroquois
ischium ischia
isostasy isostasys
I-spy I-spys
jackfish jackfish
jackknife jackknives
Japanese Japanese
Javanese Javanese
jay jays
jazzman jazzmen
jemmy jimmis
jeopardy jeopardys
jersey jerseys
jewellery jewellerys
jiggery-pokery jiggery-pokerys
jingo jingoes
jinnee jinn
jinnee djinn
jinx jinxs
jo joes
jobbery jobberys
jockey jockeys
joey joeys
journey journeys
journeyman journeymen
joy joys
jukebox jukeboxs
July Julys
junco juncoes
juryman jurymen
jurywoman jurywomen
Kanarese Kanarese
kapellmeister kapellmeister
kersey kerseys
key keys
keyway keyways
kibbutz kibbutzim
kidney kidneys
killjoy killjoys
kinesiology kinesiologys
kinsman kinswomen
kinsman kinsmen
kinsman kinswoman
Kirghiz Kirghiz
kirkman kirkmen
knife knives
kohlrabi kohlrabies
krona kronur
krona kronor
krone kroner
Kru Kru
labium labia
labrum labra
lackey lackeys
lactobacillus lactobacilli
lacuna lacunae
laicity laicitys
laity laitys
lamella lamellae
lamina laminae
lamprey lampreys
Land Lnder
landsman landsmen
Larry Larrys
larva larvae
larynx larynges
lasso lassoes
latchkey latchkeys
latex latices
lawman lawmen
lay lays
lay-by lay-bys
layman laywoman
layman laywomen
layman laymen
lazaret lazarettos
lazybones lazybones
leaf leaves
Lebanese Lebanese
lechery lecherys
lecythus lecythi
leeway leeways
legman legmen
lengthman lengthmen
leprosy leprosys
lepton lepta
lese-majesty lese-majestys
lethargy lethargys
leu lei
levity levitys
lexicography lexicographys
lexicology lexicologys
lexigraphy lexigraphys
ley leys
liberality liberalitys
libretto libretti
lied lieder
liegeman liegemen
life lives
lifebuoy lifebuoys
lighterman lightermen
Limey Limeys
limnology limnologys
lineman linemen
linesman linesmen
lingo lingoes
linkman linkmen
linsey-woolsey linsey-woolseys
lipidosis lipidoses
lipography lipographys
lira lire
literacy literacys
lithography lithographys
lithology lithologys
liveryman liverymen
loaf loaves
locksman locksmen
loco locoes
loculus loculi
locus loci
logion logia
longevity longevitys
longshoreman longshoremen
loris loris
louis louis
louse lice
lovey loveys
lowboy lowboys
lox loxs
lummox lummoxs
lumpfish lumpfishes
lumpfish -fish
lunula lunulae
Lurex Lurexs
lustrum lustra
lux lux
lycanthropy lycanthropys
lymphoma lymphomata
lynx lynxs
lysis lyses
macaroni macaronies
McCoy McCoys
macrophotography macrophotographys
macula maculae
Madame Mesdames
Mademoiselle Mesdemoiselles
madman madmen
madwoman madwomen
maestro maestri
Mafioso Mafiosi
magma magmata
magnifico magnificoes
magnox magnoxs
maguey magueys
magus magi
mailbox mailboxs
mailman mailmen
mainstay mainstays
malacology malacologys
Malagasy Malagasys
malarkey malarkeys
Malay Malays
malleolus malleoli
malleus mallei
malmsey malmseys
Maltese Maltese
mamma mammae
mammography mammographys
man men
mangabey mangabeys
mango mangoes
manservant menservants
Manx Manxs
Manxman Manxwomen
Manxman Manxmen
Manxman Manxwoman
many manys
mare maria
maremma maremme
margay margays
Mariolatry Mariolatrys
marksman marksmen
marquetry marquetrys
masonry masonrys
mastery masterys
matchbox matchboxs
maternity maternitys
matey mateys
matrix matrices
matzo matzoth
Maundy Maundys
maxilla maxillae
maximum maxima
May Mays
mayday maydays
media mediae
mediastinum mediastina
medium mediums,media
medley medleys
medusa medusae
Meistersinger Meistersinger
melisma melismata
memento mementoes
memorandum memoranda
meninx meninges
meniscus menisci
menstruum menstrua
merchantman merchantmen
mercury mercurys
merman mermen
mestizo mestizas
mestizo mestiza
metacarpus metacarpi
metallography metallographys
metallurgy metallurgys
metamorphosis metamorphoses
metapsychology metapsychologys
metastasis metastases
metatarsus metatarsi
metathesis metatheses
metempsychosis metempsychoses
meteorology meteorologys
metis metisse
metis metis
metis metisses
metonymy metonymys
metrology metrologys
mezuzah mezuzoth
miasma miasmata
mickey mickeys
microbiology microbiologys
microcephaly microcephalys
microscopy microscopys
microsurgery microsurgerys
micrurgy micrurgys
midday middays
middleman middlemen
Midrash Midrashim
midshipman midshipmen
midwife midwives
Milanese Milanese
milieu milieux
military militarys
militiaman militiamen
milkman milkmen
millennium millennia
mineralogy mineralogys
minimax minimaxs
Minuteman Minutemen
minutia minutiae
minx minxs
mirepoix mirepoixs
misogamy misogamys
misogyny misogynys
misplay misplays
mitochondrion mitochondria
mitzvah mitzvoth
mix mixs
modesty modestys
modulus moduli
momentum momenta
monandry monandrys
Monday Mondays
money moneys
money monies
monkey monkeys
monogamy monogamys
monogyny monogynys
monotony monotonys
Monseigneur Messeigneurs
Monsieur Messieurs
Monsignor Monsignori
moody moodys
moose moose
moratorium moratoria
moray morays
Morisco Moriscoes
mornay mornays
morphology morphologys
mortadella mortadelle
morula morulae
moshav moshavim
mosquito mosquitoes
motley motleys
motorman motormen
motorway motorways
motto mottoes
